,*YEAR 2022 ,,,,,,,,
,,,,,,,FLOOD,WEATHER,
# ,DATE ,MONTH ,BARANGAY ,LOCATION ,LATITUDE ,LONGITUDE ,,,REMARKS
,,,,,,,DEPTH ,DISTURBANCES ,
,,,SAN,EVACOM,,,GUTTER,,PASSABLE TO ANY
1,14 Mar 2022 ,MARCH ,,,14.47513822,121.0011419,,Localized Thunderstorms ,
,,,DIONISIO ,INTERSECTION ,,,LEVEL ,,TYPE OF VEHICLE
,,,,BOUNDARY OF,,,,,
,,,,CRUZ,,,KNEE,,
2,14 Mar 2022 ,MARCH ,SAN ISIDRO ,,14.47041838,121.0106894,,Localized Thunderstorms ,
,,,,COMPOUND,,,LEVEL ,,PASSABLE TO ANY
,,,,AND PUROK 5 ,,,,,TYPE OF VEHICLE
,,,,SAN LUCAS ST.,,,GUTTER,,PASSABLE TO ANY
3,14 Mar 2022 ,MARCH ,SAN ISIDRO ,,14.46696852,121.0027307,,Localized Thunderstorms ,
,,,,VALLEY 6 ,,,LEVEL ,,TYPE OF VEHICLE
,,,,BANANA,,,KNEE,,NOT PASSABLE TO
4,14 Mar 2022 ,MARCH ,VITALEZ ,,14.50945879,121.0041835,,Localized Thunderstorms ,
,,,,COMPOUND ,,,LEVEL ,,LIGHT VEHICLE
,,,,SAN ANTONIO,,,,,
,,,SAN,,,,GUTTER,,
5,14 Mar 2022 ,MARCH ,,AVE.,14.46485244,121.0198098,,Localized Thunderstorms ,
,,,ANTONIO ,,,,LEVEL ,,
,,,,INTERSECTION ,,,,,SUBSIDED
,,,SAN,DASA FOURTH,,,GUTTER,,PASSABLE TO ANY
6,14 Mar 2022 ,MARCH ,,,14.46104908,121.0274713,,Localized Thunderstorms ,
,,,ANTONIO ,ESTATE ,,,LEVEL ,,TYPE OF VEHICLE
,,,,BANNAER ST.,,,,,
,,,SAN,,,,GUTTER,,
7,14 Mar 2022 ,MARCH ,,FOURTH,14.46202658,121.03229,,Localized Thunderstorms ,PASSABLE TO ANY
,,,ANTONIO ,,,,LEVEL ,,
,,,,ESTATE ,,,,,TYPE OF VEHICLE
,,,SAN,LOWER,,,KNEE,,NOT PASSABLE TO
8,14 Mar 2022 ,MARCH ,,,14.46949357,121.0240365,,Localized Thunderstorms ,
,,,ANTONIO ,BARANGAY ,,,LEVEL ,,LIGHT VEHICLE
,,,,SAN PEDRO,,,GUTTER,,PASSABLE TO ANY
9,14 Mar 2022 ,MARCH ,SAN ISIDRO ,,14.46947702,121.0069346,,Localized Thunderstorms ,
,,,,STREET ,,,LEVEL ,,TYPE OF VEHICLE
,,,,,,,WAIST,,NOT PASSABLE TO
10,15 May 2022 ,MAY ,STO NIÑO ,LIBJO AREA ,14.49993154,121.0092085,,Localized Thunderstorms ,
,,,,,,,LEVEL ,,LIGHT VEHICLE
,,,MARCELO,ILANG ILANG,,,GUTTER,,PASSABLE TO ANY
11,15 May 2022 ,MAY ,,,14.46070373,121.0385847,,Localized Thunderstorms ,
,,,GREEN ,UPS 4 ,,,LEVEL ,,TYPE OF VEHICLE
,,,,CHAMPACA,,,,,
